ticker,reason,date_added
032790,liquidity,2025-05-13
311320,liquidity,2025-05-13
222160,liquidity,2025-05-13
019770,liquidity,2025-05-13
106080,liquidity,2025-05-13
001070,liquidity,2025-05-13
060240,liquidity,2025-05-13
317400,liquidity,2025-05-13
110020,liquidity,2025-05-13
178780,liquidity,2025-05-13
096240,liquidity,2025-05-13
419080,liquidity,2025-05-13
023600,liquidity,2025-05-13
017650,liquidity,2025-05-13
003650,liquidity,2025-05-13
052860,liquidity,2025-05-13
108230,liquidity,2025-05-13
033290,liquidity,2025-05-13
047310,liquidity,2025-05-13
005960,liquidity,2025-05-13
230980,liquidity,2025-05-13
020760,liquidity,2025-05-13
024120,liquidity,2025-05-13
049550,liquidity,2025-05-13
036580,liquidity,2025-05-13
000650,liquidity,2025-05-13
095270,liquidity,2025-05-13
200470,liquidity,2025-05-13
096870,liquidity,2025-05-13
065570,liquidity,2025-05-13
225430,liquidity,2025-05-13
294140,liquidity,2025-05-13
038290,liquidity,2025-05-13
034940,liquidity,2025-05-13
224060,liquidity,2025-05-13
066590,liquidity,2025-05-13
003680,liquidity,2025-05-13
032980,liquidity,2025-05-13
080010,liquidity,2025-05-13
088910,liquidity,2025-05-13
263540,liquidity,2025-05-13
014570,liquidity,2025-05-13
290720,liquidity,2025-05-13
007700,liquidity,2025-05-13
053060,liquidity,2025-05-13
143210,liquidity,2025-05-13
054090,liquidity,2025-05-13
026040,liquidity,2025-05-13
246720,liquidity,2025-05-13
000590,liquidity,2025-05-13
044780,liquidity,2025-05-13
004250,liquidity,2025-05-13
041520,liquidity,2025-05-13
060850,liquidity,2025-05-13
106520,liquidity,2025-05-13
002820,liquidity,2025-05-13
138580,liquidity,2025-05-13
000400,liquidity,2025-05-13
432470,liquidity,2025-05-13
142760,liquidity,2025-05-13
096040,liquidity,2025-05-13
204630,liquidity,2025-05-13
415380,liquidity,2025-05-13
139670,liquidity,2025-05-13
109960,liquidity,2025-05-13
037370,liquidity,2025-05-13
009310,liquidity,2025-05-13
290120,liquidity,2025-05-13
032800,liquidity,2025-05-13
130500,liquidity,2025-05-13
052900,liquidity,2025-05-13
238490,liquidity,2025-05-13
009440,liquidity,2025-05-13
086670,liquidity,2025-05-13
002230,liquidity,2025-05-13
045510,liquidity,2025-05-13
396300,liquidity,2025-05-13
153710,liquidity,2025-05-13
006380,liquidity,2025-05-13
084730,liquidity,2025-05-13
046390,liquidity,2025-05-13
008470,liquidity,2025-05-13
200780,liquidity,2025-05-13
023800,liquidity,2025-05-13
002680,liquidity,2025-05-13
008290,liquidity,2025-05-13
221980,liquidity,2025-05-13
114450,liquidity,2025-05-13
000850,liquidity,2025-05-13
303030,liquidity,2025-05-13
229000,liquidity,2025-05-13
050860,liquidity,2025-05-13
330860,liquidity,2025-05-13
138070,liquidity,2025-05-13
054920,liquidity,2025-05-13
002870,liquidity,2025-05-13
079950,liquidity,2025-05-13
225590,liquidity,2025-05-13
001260,liquidity,2025-05-13
016600,liquidity,2025-05-13
011040,liquidity,2025-05-13
263920,liquidity,2025-05-13
327260,liquidity,2025-05-13
318010,liquidity,2025-05-13
049960,liquidity,2025-05-13
290380,liquidity,2025-05-13
053210,liquidity,2025-05-13
222110,liquidity,2025-05-13
004360,liquidity,2025-05-13
357230,liquidity,2025-05-13
092780,liquidity,2025-05-13
347890,liquidity,2025-05-13
335870,liquidity,2025-05-13
019540,liquidity,2025-05-13
200230,liquidity,2025-05-13
073540,liquidity,2025-05-13
190650,liquidity,2025-05-13
067900,liquidity,2025-05-13
452200,liquidity,2025-05-13
037760,liquidity,2025-05-13
078590,liquidity,2025-05-13
239610,liquidity,2025-05-13
008870,liquidity,2025-05-13
265560,liquidity,2025-05-13
015360,liquidity,2025-05-13
226440,liquidity,2025-05-13
027740,liquidity,2025-05-13
046070,liquidity,2025-05-13
003610,liquidity,2025-05-13
018680,liquidity,2025-05-13
072470,liquidity,2025-05-13
052600,liquidity,2025-05-13
214270,liquidity,2025-05-13
062860,liquidity,2025-05-13
009290,liquidity,2025-05-13
298000,liquidity,2025-05-13
071670,liquidity,2025-05-13
016740,liquidity,2025-05-13
002600,liquidity,2025-05-13
